"id","X","tag_plate","location","value","PID","timepoint","PID_timepoint","empty_well"
"Plate_3_C10",266,"Plate_3","C10","HSA1365_C10","HSA1365","HSA","HSA1365",FALSE
"Plate_3_C11",274,"Plate_3","C11","HSA1365_C11","HSA1365","HSA","HSA1365",TRUE
"Plate_3_C12",282,"Plate_3","C12","HSA1365_C12","HSA1365","HSA","HSA1365",FALSE
"Plate_3_C1",194,"Plate_3","C1","HSA1365_C1","HSA1365","HSA","HSA1365",FALSE
"Plate_3_C2",202,"Plate_3","C2","HSA1365_C2","HSA1365","HSA","HSA1365",FALSE
"Plate_3_C3",210,"Plate_3","C3","HSA1365_C3","HSA1365","HSA","HSA1365",FALSE
"Plate_3_C4",218,"Plate_3","C4","HSA1365_C4","HSA1365","HSA","HSA1365",FALSE
"Plate_3_C5",226,"Plate_3","C5","HSA1365_C5","HSA1365","HSA","HSA1365",FALSE
"Plate_3_C6",234,"Plate_3","C6","HSA1365_C6","HSA1365","HSA","HSA1365",FALSE
"Plate_3_C7",242,"Plate_3","C7","HSA1365_C7","HSA1365","HSA","HSA1365",FALSE
"Plate_3_C8",250,"Plate_3","C8","HSA1365_C8","HSA1365","HSA","HSA1365",FALSE
"Plate_3_C9",258,"Plate_3","C9","HSA1365_C9","HSA1365","HSA","HSA1365",FALSE
"Plate_3_D10",267,"Plate_3","D10","HSA1365_D10","HSA1365","HSA","HSA1365",FALSE
"Plate_3_D11",275,"Plate_3","D11","HSA1365_D11","HSA1365","HSA","HSA1365",FALSE
"Plate_3_D12",283,"Plate_3","D12","HSA1365_D12","HSA1365","HSA","HSA1365",FALSE
"Plate_3_D1",195,"Plate_3","D1","HSA1365_D1","HSA1365","HSA","HSA1365",TRUE
"Plate_3_D2",203,"Plate_3","D2","HSA1365_D2","HSA1365","HSA","HSA1365",FALSE
"Plate_3_D3",211,"Plate_3","D3","HSA1365_D3","HSA1365","HSA","HSA1365",FALSE
"Plate_3_D4",219,"Plate_3","D4","HSA1365_D4","HSA1365","HSA","HSA1365",FALSE
"Plate_3_D5",227,"Plate_3","D5","HSA1365_D5","HSA1365","HSA","HSA1365",FALSE
"Plate_3_D6",235,"Plate_3","D6","HSA1365_D6","HSA1365","HSA","HSA1365",TRUE
"Plate_3_D7",243,"Plate_3","D7","HSA1365_D7","HSA1365","HSA","HSA1365",FALSE
"Plate_3_D8",251,"Plate_3","D8","HSA1365_D8","HSA1365","HSA","HSA1365",FALSE
"Plate_3_D9",259,"Plate_3","D9","HSA1365_D9","HSA1365","HSA","HSA1365",FALSE
"Plate_3_E10",268,"Plate_3","E10","HSA1365_E10","HSA1365","HSA","HSA1365",FALSE
"Plate_3_E11",276,"Plate_3","E11","HSA1365_E11","HSA1365","HSA","HSA1365",FALSE
"Plate_3_E12",284,"Plate_3","E12","HSA1365_E12","HSA1365","HSA","HSA1365",FALSE
